evidence_id,record_date,category,title,public_status,verification_status,download,sha256,limitations
H-064,2026-03-11,Public statement,"Sherwood Police Department Flock camera public statement",Public,Preserved evidentiary PDF,/downloads/sherwood/evidence/ARAP-SHERWOOD-WEB-20260311-FLOCK-STATEMENT-H064_EVIDENTIARY.pdf,93e2d23a0f410540b9f7abbdfa3bbf2aaeba6c8146fd0ff7bb35b4f24b4d2a32,"Records what the City stated; does not independently verify underlying installation, payment, policy, or arrest records."
H-065,2026-07-11 through 2026-08-09,Audit log,"Sherwood public search audit—source CSV",Public,Primary export,/downloads/sherwood/evidence/ARAP-SHERWOOD-PORTAL-PUBLIC-SEARCH-AUDIT-20260711-20260809-H065_SOURCE.csv,387c6b5ea2074dd4ab51bec228d92d25006308231420b7a706e561f86e76017a,"Contains counts and stated reasons; does not identify queried plates, case numbers, named networks, agencies, states, or databases."
H-065,2026-08-10,Derived analysis,"Sherwood public search audit—analysis workbook",Public,Derived and reproducible from H-065 source CSV,/downloads/sherwood/evidence/ARAP-SHERWOOD-PORTAL-PUBLIC-SEARCH-AUDIT-20260711-20260809-H065_ANALYSIS.xlsx,990ab8bbd03b2f8d075a8532183f53602af4b2a81f814ab5ccf83e0e7c1f36b5,"Analytical workbook; use with the source CSV."
H-066,2026-07-21 through 2026-07-31,FOIA correspondence,"CITY-2026-130 City Attorney Emails—Redacted",Public,Primary agency-produced correspondence,/downloads/sherwood/evidence/ARAP-SHERWOOD-FOIA-CITY-2026-130-CITY-ATTORNEY-EMAILS-H066_REDACTED.pdf,2dbab73e042b08f5252adf5cde777fbc202dc628ab3685e8bdbbd189587e9677,"Documents advice and later production; does not establish adoption, legal effect, concealment, or denial."
H-067,2026-07-31,FOIA production,"CITY-2026-130 Documentation—Redacted",Restricted pending additional redaction,Preserved source record,,cab6a7880469f2b0c4f6dbf15f7e37df62a97a33325283f3437545fd4ce9c438,"Produced copy still contains requester/contact details; no public download until a further-redacted reference copy is verified."
H-068,2026-08-10,Web capture,"Live Flock Arkansas networks URL returned 404",Public,Contemporaneous screenshot,/downloads/sherwood/evidence/ARAP-SHERWOOD-WEB-20260810-FLOCK-ARKANSAS-404-H068.png,5213e6d2cf9f8bb0c043629cc2f2609d39940aeb2687b8c843b9a2bd56a3f165,"Shows the page state at capture time; does not establish when, why, or by whom the page was removed."
H-069,2026-08-10,Web capture,"Wayback Machine reported the Flock Arkansas URL excluded",Public,Contemporaneous screenshot,/downloads/sherwood/evidence/ARAP-SHERWOOD-WEB-20260810-WAYBACK-EXCLUSION-H069.png,1e24004df2aa67df527c00ddcaccecd2814ba47ce9139a667d833d6e06d2ff06,"Shows the archive response at capture time; does not establish who requested exclusion or why."
H-078,2026-08-10,Publication,"Supplemental legislative review—Vendor Record Custody and FOIA Routing v1.1",Public,Corrected analytical publication,/downloads/sherwood/evidence/ARAP-SHERWOOD-LEGISLATIVE-REVIEW-ADDENDUM-CITY-2026-130-H078-v1.1.pdf,799d0348a801aecdb50272686058b9a9b90a6e37f1a73e6de75933a5cab3b199,"Analysis separated from the source record; H-066/H-066-A numbering corrected."
H-078,2026-08-10,Publication source,"Supplemental legislative review—editable DOCX v1.1",Public,Corrected analytical publication source,/downloads/sherwood/evidence/ARAP-SHERWOOD-LEGISLATIVE-REVIEW-ADDENDUM-CITY-2026-130-H078-v1.1.docx,8315c47de7d469038e2b66061d369bcd36bde317966e8702f4950a2b3448ac54,"Editable source corresponding to the corrected public PDF."
H-080,2022-10-31,Contract,"Sherwood–Flock 2022 agreement",Public redacted,Executed agreement,/downloads/sherwood/evidence/ARAP-SHERWOOD-CONTRACT-FLOCK-2022-H080_REDACTED.pdf,5626729c9256beb5898d607202479d063966cfd016992dabb5050f46b3fe9cbd,"Includes an attached Government Agency Agreement."
H-081,2023-12-22 and 2024-02-19,Contract,"Sherwood–Flock later order form",Public redacted,Executed order form,/downloads/sherwood/evidence/ARAP-SHERWOOD-CONTRACT-FLOCK-2023-2024-H081_REDACTED.pdf,674ae5da37600049c0b63a4dcb8615256e123d5f67527bcb22cde4f165b7e1ae,"The produced five-page file incorporates online terms by URL but does not attach or date a copy of those terms."
H-082,2026-02-05,Correspondence,"Flock Installs email excerpt",Public redacted excerpt,Derived from preserved agency production,/downloads/sherwood/evidence/ARAP-SHERWOOD-CORRESPONDENCE-FLOCK-INSTALLS-20260205-H082_EXCERPT.pdf,727d4b2493282c26e1bc6b108bede829b754c2e7df7dfa8d96f92016bedba2d2,"One-page excerpt; use only for the displayed exchange and not as a substitute for the complete production."
H-083-A,2026-05-22,Correspondence,"Traffic Analytics and retention email chain—Part A",Public redacted,Primary agency-produced correspondence,/downloads/sherwood/evidence/ARAP-SHERWOOD-CORRESPONDENCE-TRAFFIC-ANALYTICS-H083-PART-A_REDACTED.pdf,a6a15df0adcbe50c45650a528352d00128d0d171b1cf20ba5e2455400a581e89,"Documents participants' statements and pricing discussion; does not resolve the governing retention law or actual retention practice."
H-083-B,2026-05-21,Correspondence,"Traffic Analytics and retention email chain—Part B",Public redacted,Primary agency-produced correspondence,/downloads/sherwood/evidence/ARAP-SHERWOOD-CORRESPONDENCE-TRAFFIC-ANALYTICS-H083-PART-B_REDACTED.pdf,14ad6f418e9d8eff60025f952389d7d1d6a691b8d6b0132899284362128e64c7,"Documents participants' statements and pricing discussion; does not resolve the governing retention law or actual retention practice."
H-084,2026-03-13,Correspondence,"ALPR Policy email with Arkansas statutes and draft Policy 11.08.00",Public,Primary agency-produced correspondence with attachments,/downloads/sherwood/evidence/ARAP-SHERWOOD-CORRESPONDENCE-ALPR-POLICY-STATUTES-20260313-H084.pdf,2a292c73b1e61cbd89885c3311f38226656ba432ee6b401e5cf0c1edbc9034c4,"Shows that Capt. Scott Hicks sent the statutes and a draft policy to Chief Jeff Hagar and two other recipients; does not prove that any recipient opened, reviewed, approved, or implemented the attachments."
H-085,2026-08-13,FOIA correspondence,"CITY-2026-140 ALPR reporting and recordkeeping response",Public redacted,Primary agency-produced response with requester contact details removed,/downloads/sherwood/evidence/ARAP-SHERWOOD-FOIA-CITY-2026-140-REPORTING-RECORDKEEPING-H085_REDACTED.pdf,b61b62eb69a89dba20db77adf8235dbcde9ec039aceeb8d91bdb8ad626cadc19,"Documents the City's statement that pre-July 14 statistical data could not be provided and that the request identified reporting and recordkeeping deficiencies; does not determine intent, individual fault, legal liability, or the effectiveness of later corrective action."
REGISTER-v1.1,2026-08-08,Evidence index,"Attachment H Source and Evidence Index v1.1",Public,Historical master register through H-064,/downloads/sherwood/evidence/ARAP-SHERWOOD-ATTACHMENT-H-SOURCE-EVIDENCE-INDEX-v1.1.docx,f81be96912e3d3ed7f1c594f2060d34ac5ed3067c92b9d7032475c594f318e59,"The v3.7 web/CSV register extends the August 8 register; later IDs appear in this CSV."
